,cap.english,cap.universal,categories.content,categories.friend,categories.network,categories.sentiment,categories.temporal,categories.user,display_scores.content,display_scores.english,display_scores.friend,display_scores.network,display_scores.sentiment,display_scores.temporal,display_scores.universal,display_scores.user,scores.english,scores.universal,user.id_str,list2
104,0.482700521,0.955014664,0.247652714,0.839869123,0.899717411,0.040950532,0.875284365,0.932728293,1.2,3.9,4.2,4.5,0.2,4.4,4.9,4.7,0.786626298,0.979191061,977694448372146000,Random
105,0.944674263,0.951707783,0.431992025,0.959234565,0.720110381,0.787165524,0.920152118,0.970100821,2.2,4.8,4.8,3.6,3.9,4.6,4.9,4.9,0.966190224,0.977444884,720881883060379000,Random
106,0.565053422,0.947999744,0.621031119,0.771479184,0.938260401,0.443264812,0.837340698,0.922355737,3.1,4.1,3.9,4.7,2.2,4.2,4.9,4.6,0.826453204,0.975555835,864085062974713000,Random
107,0.386842593,0.947999744,0.621031119,0.91362236,0.929856001,0.116958291,0.888200296,0.974272983,3.1,3.7,4.6,4.6,0.6,4.4,4.9,4.9,0.740529101,0.975555835,1039127297075410000,Random
108,0.786912482,0.943835403,0.587672863,0.91362236,0.911435918,0.142987447,0.861109621,0.956607926,2.9,4.6,4.6,4.6,0.7,4.3,4.9,4.8,0.911222953,0.97351286,4848566081,Random
109,0.846934867,0.943835403,0.916046449,0.889639416,0.943270134,0.443264812,0.683681567,0.949718859,4.6,4.6,4.4,4.7,2.2,3.4,4.9,4.7,0.929866945,0.97351286,929004198787563000,Random
110,0.958167115,0.942007284,0.909089646,0.91362236,0.911435918,0.443264812,0.933845012,0.962602757,4.5,4.9,4.6,4.6,2.2,4.7,4.9,4.8,0.973624716,0.972640064,765091278916841000,Random
111,0.974204075,0.942007284,0.972469623,0.91362236,0.911435918,0.443264812,0.933845012,0.962602757,4.9,4.9,4.6,4.6,2.2,4.7,4.9,4.8,0.985311652,0.972640064,1047146944269830000,Random
112,0.974204075,0.942007284,0.972469623,0.91362236,0.911435918,0.443264812,0.933845012,0.962602757,4.9,4.9,4.6,4.6,2.2,4.7,4.9,4.8,0.985311652,0.972640064,986598299032420000,Random
113,0.898534253,0.942007284,0.910106721,0.91362236,0.911435918,0.443264812,0.933845012,0.962602757,4.6,4.7,4.6,4.6,2.2,4.7,4.9,4.8,0.947026182,0.972640064,1049018121758160000,Random
114,0.726369286,0.942007284,0.909569136,0.91362236,0.911435918,0.914772951,0.933845012,0.962602757,4.5,4.5,4.6,4.6,4.6,4.7,4.9,4.8,0.891700088,0.972640064,1046395973080100000,Random
115,0.808401005,0.939152273,0.942507717,0.469446866,0.929437268,0.933374264,0.946764797,0.96777567,4.7,4.6,2.3,4.6,4.7,4.7,4.9,4.8,0.917887814,0.971304162,1044362215632100000,Random
116,0.666276782,0.939152273,0.637311442,0.91362236,0.911435918,0.914772951,0.920152118,0.864884946,3.2,4.4,4.6,4.6,4.6,4.6,4.9,4.3,0.8701192,0.971304162,724875631771656000,Random
117,0.920961013,0.937464025,0.958744005,0.707220047,0.904490282,0.443264812,0.907590067,0.962602757,4.8,4.8,3.5,4.5,2.2,4.5,4.9,4.8,0.955560944,0.970528952,1004137944347600000,Random
118,0.828458504,0.933880075,0.938607316,0.91362236,0.911435918,0.291206365,0.861109621,0.96777567,4.7,4.6,4.6,4.6,1.5,4.3,4.8,4.8,0.924093996,0.968917167,859411926421393000,Random
119,0.482700521,0.933880075,0.260883085,0.923351319,0.953002689,0.103889657,0.780168042,0.959705336,1.3,3.9,4.6,4.8,0.5,3.9,4.8,4.8,0.786626298,0.968917167,1039129892921590000,Random
120,0.125145748,0.92794059,0.124704686,0.91362236,0.911435918,0.443264812,0.888200296,0.972263009,0.6,2.7,4.6,4.6,2.2,4.4,4.8,4.9,0.548702008,0.966338496,2880344041,Random
121,0.716143502,0.92794059,0.365197468,0.91362236,0.911435918,0.608797244,0.875284365,0.889764823,1.8,4.4,4.6,4.6,3,4.4,4.8,4.4,0.888218495,0.966338496,905613186,Random
122,0.590677715,0.921247939,0.914876263,0.91362236,0.911435918,0.443264812,0.861109621,0.95328401,4.6,4.2,4.6,4.6,2.2,4.3,4.8,4.8,0.838353133,0.963553942,700607630163640000,Random
123,0.386842593,0.921247939,0.81320069,0.91362236,0.911435918,0.726110191,0.861109621,0.965276172,4.1,3.7,4.6,4.6,3.6,4.3,4.8,4.8,0.740529101,0.963553942,1035531402492740000,Random
124,0.420205046,0.921247939,0.934460704,0.91362236,0.944136733,0.443264812,0.899931538,0.558079309,4.7,3.8,4.6,4.7,2.2,4.5,4.8,2.8,0.756585473,0.963553942,748265256913244000,Random
125,0.828458504,0.921247939,0.866041405,0.923351319,0.76636414,0.443264812,0.670125997,0.977876235,4.3,4.6,4.6,3.8,2.2,3.4,4.8,4.9,0.924093996,0.963553942,1037994104041480000,Random
126,0.004268306,0.913709531,0.333488397,0.91362236,0.947254287,0.0384138,0.915477481,0.667547437,1.7,0.5,4.6,4.7,0.2,4.6,4.8,3.3,0.108277007,0.960548448,746201788802437000,Random
127,0.944674263,0.913709531,0.501354771,0.932307174,0.743921493,0.081122625,0.928799391,0.927713378,2.5,4.8,4.7,3.7,0.4,4.6,4.8,4.6,0.966190224,0.960548448,990992133568937000,Random
128,0.91473169,0.913709531,0.942507717,0.868322344,0.863383565,0.933374264,0.780168042,0.927713378,4.7,4.8,4.3,4.3,4.7,3.9,4.8,4.6,0.953081736,0.960548448,1001089908784680000,Random
129,0.716143502,0.913709531,0.796775684,0.843611525,0.849972295,0.386840932,0.932791332,0.916636687,4,4.4,4.2,4.2,1.9,4.7,4.8,4.6,0.888218495,0.960548448,2382155287,Random
130,0.904270665,0.905227907,0.897413618,0.419890699,0.929437268,0.897852531,0.952678222,0.932728293,4.5,4.7,2.1,4.6,4.5,4.8,4.8,4.7,0.949115125,0.95730609,1046125066331780000,Random
131,0.938706315,0.905227907,0.93005489,0.913320754,0.388985982,0.870707632,0.946764797,0.965276172,4.7,4.8,4.6,1.9,4.4,4.7,4.8,4.8,0.963289157,0.95730609,1014871261959320000,Random
132,0.716143502,0.905227907,0.629207977,0.902116699,0.958152287,0.036028306,0.937358352,0.89712048,3.1,4.4,4.5,4.8,0.2,4.7,4.8,4.5,0.888218495,0.95730609,1048272240893030000,Random
133,0.954302626,0.895703741,0.915147612,0.771479184,0.583655528,0.937397659,0.943552603,0.972263009,4.6,4.9,3.9,2.9,4.7,4.7,4.8,4.9,0.971342649,0.95381007,791937704351010000,Random
134,0.482700521,0.895703741,0.199356987,0.902116699,0.955648704,0.443264812,0.928799391,0.7614882,1,3.9,4.5,4.8,2.2,4.6,4.8,3.8,0.786626298,0.95381007,1044841553607490000,Random
135,0.76420234,0.895703741,0.604473547,0.91362236,0.911435918,0.91982315,0.642166361,0.945897074,3,4.5,4.6,4.6,4.6,3.2,4.8,4.7,0.904073657,0.95381007,396004666,Random
136,0.786912482,0.895703741,0.475205058,0.852242833,0.463074603,0.510678834,0.924589514,0.949718859,2.4,4.6,4.3,2.3,2.6,4.6,4.8,4.7,0.911222953,0.95381007,2847271754,Random
137,0.808401005,0.895703741,0.536184833,0.91362236,0.944136733,0.684646233,0.88189516,0.864884946,2.7,4.6,4.6,4.7,3.4,4.4,4.8,4.3,0.917887814,0.95381007,31176555,Random
138,0.046773783,0.895703741,0.222571318,0.91362236,0.950207036,0.204946688,0.88189516,0.684472733,1.1,1.9,4.6,4.8,1,4.4,4.8,3.4,0.380551857,0.95381007,2556724310,Random
139,0.904270665,0.895703741,0.89080836,0.918476502,0.583655528,0.828393199,0.955395663,0.945897074,4.5,4.7,4.6,2.9,4.1,4.8,4.8,4.7,0.949115125,0.95381007,1048657239920330000,Random
140,0.052723484,0.895703741,0.120945557,0.804952397,0.904490282,0.443264812,0.80069147,0.970100821,0.6,2,4,4.5,2.2,4,4.8,4.9,0.400861391,0.95381007,4767490513,Random
