,cap.english,cap.universal,categories.content,categories.friend,categories.network,categories.sentiment,categories.temporal,categories.user,display_scores.content,display_scores.english,display_scores.friend,display_scores.network,display_scores.sentiment,display_scores.temporal,display_scores.universal,display_scores.user,scores.english,scores.universal,user.id_str,list2,bot
1552,0.002412482,0.007183846,0.11728456,0.168637131,0.109970068,0.097851882,0.145447808,0.13546586,0.6,0.3,0.8,0.5,0.5,0.7,0.7,0.7,0.06783457,0.13802619,91127293,Random,FALSE
1553,0.001554351,0.002307921,0.149407927,0.106126161,0.224270463,0.103889657,0.170117236,0.037517839,0.7,0.2,0.5,1.1,0.5,0.9,0.2,0.2,0.038503445,0.048113666,2903599187,Random,FALSE
1554,0.075832357,0.355154311,0.234880083,0.633476136,0.213883707,0.194309275,0.384849463,0.864884946,1.2,2.3,3.2,1.1,1,1.9,3.7,4.3,0.463592191,0.740959859,929542775569289000,Random,FALSE
1555,0.0099223,0.060559163,0.110250333,0.198696697,0.167245247,0.056219498,0.079246657,0.386453791,0.6,0.9,1,0.8,0.3,0.4,2.1,1.9,0.180767269,0.413569898,946531254891175000,Random,FALSE
1556,0.001554351,0.001865505,0.103588479,0.064975952,0.056268845,0.076726235,0.145447808,0.025802286,0.5,0.2,0.3,0.3,0.4,0.7,0.2,0.1,0.038503445,0.032398755,226726079,Random,FALSE
1557,0.141573911,0.145776203,0.604473547,0.771479184,0.143386718,0.808625391,0.301336415,0.577046617,3,2.8,3.9,0.7,4,1.5,2.9,2.9,0.569731783,0.576808656,873411774296449000,Random,FALSE
1558,0.002412482,0.003353677,0.044565652,0.094076993,0.0706455,0.155959099,0.049806034,0.500374835,0.2,0.3,0.5,0.4,0.8,0.2,0.4,2.5,0.06783457,0.076513107,2975220511,Random,FALSE
1559,0.001309081,0.002571044,0.047633404,0.08852387,0.056268845,0.063717928,0.074839956,0.032317978,0.2,0.1,0.4,0.3,0.3,0.4,0.3,0.2,0.027677698,0.056244912,14179517,Random,FALSE
1560,0.001554351,0.001865505,0.842944738,0.05378821,0.319693175,0.155959099,0.145447808,0.027817973,4.2,0.2,0.3,1.6,0.8,0.7,0.2,0.1,0.038503445,0.032398755,1037443826,Random,FALSE
1561,0.004775576,0.034358494,0.085697796,0.198696697,0.167245247,0.164926807,0.093921781,0.175909689,0.4,0.6,1,0.8,0.8,0.5,1.6,0.9,0.116795374,0.318418856,879333034947993000,Random,FALSE
1562,0.005363701,0.009037049,0.27456232,0.244779764,0.333041419,0.227500288,0.370283068,0.05042453,1.4,0.6,1.2,1.7,1.1,1.9,0.8,0.3,0.125889289,0.158817464,35672684,Random,FALSE
1563,0.003456538,0.003626193,0.054380119,0.106126161,0.136088798,0.036028306,0.074839956,0.058361975,0.3,0.5,0.5,0.7,0.2,0.4,0.4,0.3,0.092866954,0.082539663,868604140829671000,Random,FALSE
1564,0.641146084,0.355154311,0.791067057,0.678746199,0.40351138,0.592828268,0.940158836,0.368296058,4,4.3,3.4,2,3,4.7,3.7,1.8,0.860167737,0.740959859,740629481459580000,Random,FALSE
1565,0.046773783,0.067479061,0.423451187,0.747019268,0.235010835,0.349059933,0.80069147,0.558079309,2.1,1.9,3.7,1.2,1.7,4,2.2,2.8,0.380551857,0.433677434,2393952582,Random,FALSE
1566,0.00136119,0.002571044,0.110250333,0.112647015,0.083581381,0.131429759,0.137911216,0.025802286,0.6,0.2,0.6,0.4,0.7,0.7,0.3,0.1,0.030068974,0.056244912,265542683,Random,FALSE
1567,0.016566752,0.007183846,0.158495458,0.419890699,0.203851584,0.08670852,0.11725226,0.253398775,0.8,1.2,2.1,1,0.4,0.6,0.7,1.3,0.236883777,0.13802619,755562040811409000,Random,FALSE
1568,0.002618313,0.003626193,0.158495458,0.126741841,0.167245247,0.097851882,0.218426911,0.096222209,0.8,0.4,0.6,0.8,0.5,1.1,0.4,0.5,0.073433262,0.082539663,4774811482,Random,FALSE
1569,0.046773783,0.075193114,0.823570814,0.707220047,0.598331807,0.870707632,0.522204428,0.368296058,4.1,1.9,3.5,3,4.4,2.6,2.3,1.8,0.380551857,0.454005729,703652324082843000,Random,FALSE
1570,0.2564674,0.708611687,0.414955849,0.56938667,0.553878927,0.147392934,0.444958161,0.835428345,2.1,3.3,2.8,2.8,0.7,2.2,4.5,4.2,0.669827127,0.892994217,791399284826640000,Random,TRUE
1571,0.001634715,0.002571044,0.034080667,0.073600737,0.056268845,0.052788974,0.05938086,0.034824478,0.2,0.2,0.4,0.3,0.3,0.3,0.3,0.2,0.041789835,0.056244912,3290838490,Random,FALSE
1572,0.159909133,0.269683227,0.091326306,0.387667639,0.281436837,0.076726235,0.656281566,0.937418765,0.5,3,1.9,1.4,0.4,3.3,3.5,4.7,0.590512927,0.690801916,842493042754043000,Random,FALSE
1573,0.046773783,0.104603479,0.085697796,0.387667639,0.109970068,0.067807834,0.137911216,0.558079309,0.4,1.9,1.9,0.5,0.3,0.7,2.6,2.8,0.380551857,0.515643331,1032984704897580000,Random,FALSE
1574,0.001725458,0.001744033,0.11728456,0.064975952,0.184848764,0.110254451,0.066695714,0.034824478,0.6,0.2,0.3,0.9,0.6,0.3,0.1,0.2,0.045343501,0.027614043,17726918,Random,FALSE
1575,0.125145748,0.269683227,0.570665411,0.663976004,0.346662998,0.560327318,0.627800242,0.684472733,2.9,2.7,3.3,1.7,2.8,3.1,3.5,3.4,0.548702008,0.690801916,846664664,Random,FALSE
1576,0.001178598,0.001935846,0.07065346,0.057299337,0.059581537,0.059858869,0.074839956,0.043516718,0.4,0.1,0.3,0.3,0.3,0.4,0.2,0.2,0.021561509,0.035082643,58364109,Random,FALSE
1577,0.036578053,0.060559163,0.149407927,0.083268406,0.448015507,0.103889657,0.61320476,0.595789473,0.7,1.7,0.4,2.2,0.5,3.1,2.1,3,0.341219355,0.413569898,966403173081522000,Random,FALSE
